name,rating,rank,rating_o,rating_d,rank_o,rank_d,season_week,ranking_id,season,week
Cincinnati Bengals,2.6902764093888574,9,-0.8509634709097484,3.5412398802986056,14,8,1971.011,28,1971,10.999999999967258
Cleveland Browns,-2.9195535936600017,16,-1.9395067758489188,-0.9800468178110828,17,15,1971.011,28,1971,10.999999999967258
Dallas Cowboys,7.513215907667987,6,3.9452462740728778,3.567969633595109,6,7,1971.011,28,1971,10.999999999967258
Denver Broncos,-3.116601232301349,17,-3.753229909065765,0.6366286767644154,24,12,1971.011,28,1971,10.999999999967258
Detroit Lions,7.961216206291374,4,5.944455936804147,2.0167602694872264,1,10,1971.011,28,1971,10.999999999967258
Green Bay Packers,-0.3153756430966299,14,1.4804699116497382,-1.795845554746368,9,17,1971.011,28,1971,10.999999999967258
Houston Oilers,-11.861319677011942,25,-4.038404381170103,-7.822915295841838,26,24,1971.011,28,1971,10.999999999967258
Kansas City Chiefs,3.2295264541660305,8,0.5061681150849657,2.7233583390810647,11,9,1971.011,28,1971,10.999999999967258
Los Angeles Rams,9.645917778115168,3,4.042614369860031,5.603303408255137,5,4,1971.011,28,1971,10.999999999967258
Miami Dolphins,11.572663950316397,1,5.097186582207991,6.475477368108404,3,3,1971.011,28,1971,10.999999999967258
Minnesota Vikings,7.949781269301702,5,-3.016739986145815,10.966521255447518,20,1,1971.011,28,1971,10.999999999967258
New England Patriots,-11.409709929517344,24,-3.4989225347508466,-7.910787394766498,22,25,1971.011,28,1971,10.999999999967258
New Orleans Saints,-2.832763219927849,15,0.9552033677309906,-3.78796658765884,10,22,1971.011,28,1971,10.999999999967258
New York Giants,-5.594360245218455,23,-2.148815588684396,-3.44554465653406,18,20,1971.011,28,1971,10.999999999967258
New York Jets,-3.585187006086701,19,-3.548271812567996,-0.0369151935187048,23,13,1971.011,28,1971,10.999999999967258
Oakland Raiders,1.961996098364664,10,5.4351269421826895,-3.4731308438180264,2,21,1971.011,28,1971,10.999999999967258
Philadelphia Eagles,-5.571804554700458,22,-3.121406684086827,-2.450397870613631,21,18,1971.011,28,1971,10.999999999967258
Pittsburgh Steelers,-3.193565732759192,18,-0.2186106216200991,-2.974955111139093,12,19,1971.011,28,1971,10.999999999967258
San Diego Chargers,-5.55958212199364,21,-0.7813877132270711,-4.778194408766569,13,23,1971.011,28,1971,10.999999999967258
